"stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,platform_code"
"MYP,Miyapur,17.4965452,78.3730262,MYP,1,MYP,0.0"
"MYP1,Miyapur,17.4965452,78.3730262,MYP,0,MYP,1.0"
"MYP2,Miyapur,17.4965452,78.3730262,MYP,0,MYP,2.0"
"JNT,JNTU College,17.4987037,78.3888668,JNT,1,JNT,0.0"
"JNT1,JNTU College,17.4987037,78.3888668,JNT,0,JNT,1.0"
"JNT2,JNTU College,17.4987037,78.3888668,JNT,0,JNT,2.0"
"KPH,KPHB Colony,17.4937602,78.4018258,KPH,1,KPH,0.0"
"KPH1,KPHB Colony,17.4937602,78.4018258,KPH,0,KPH,1.0"
"KPH2,KPHB Colony,17.4937602,78.4018258,KPH,0,KPH,2.0"
"KUK,Kukatpally,17.4849033,78.4117896,KUK,1,KUK,0.0"
"KUK1,Kukatpally,17.4849033,78.4117896,KUK,0,KUK,1.0"
"KUK2,Kukatpally,17.4849033,78.4117896,KUK,0,KUK,2.0"
"BLR,Balanagar,17.4767464,78.4221082,BLR,1,BLR,0.0"
"BLR1,Balanagar,17.4767464,78.4221082,BLR,0,BLR,1.0"
"BLR2,Balanagar,17.4767464,78.4221082,BLR,0,BLR,2.0"
"MSP,Moosapet,17.4718855,78.4261182,MSP,1,MSP,0.0"
"MSP1,Moosapet,17.4718855,78.4261182,MSP,0,MSP,1.0"
"MSP2,Moosapet,17.4718855,78.4261182,MSP,0,MSP,2.0"
"BTN,Bharat Nagar,17.4629092,78.4305364,BTN,1,BTN,0.0"
"BTN1,Bharat Nagar,17.4629092,78.4305364,BTN,0,BTN,1.0"
"BTN2,Bharat Nagar,17.4629092,78.4305364,BTN,0,BTN,2.0"
"ERA,Erragadda,17.4570487,78.4335811,ERA,1,ERA,0.0"
"ERA1,Erragadda,17.4570487,78.4335811,ERA,0,ERA,1.0"
"ERA2,Erragadda,17.4570487,78.4335811,ERA,0,ERA,2.0"
"ESI,ESI Hospital,17.4486969,78.4376283,ESI,1,ESI,0.0"
"ESI1,ESI Hospital,17.4486969,78.4376283,ESI,0,ESI,1.0"
"ESI2,ESI Hospital,17.4486969,78.4376283,ESI,0,ESI,2.0"
"SRN,S. R. Nagar,17.4431205,78.4407241,SRN,1,SRN,0.0"
"SRN1,S. R. Nagar,17.4431205,78.4407241,SRN,0,SRN,1.0"
"SRN2,S. R. Nagar,17.4431205,78.4407241,SRN,0,SRN,2.0"
"AME,Ameerpet,17.4357214,78.4447933,AME,1,AME,0.0"
"AME3,Ameerpet,17.4357214,78.4447933,AME_R,0,AME,3.0"
"AME4,Ameerpet,17.4357214,78.4447933,AME_R,0,AME,4.0"
"AME1,Ameerpet,17.4352864,78.4447834,AME_B,0,AME,1.0"
"AME2,Ameerpet,17.4352864,78.4447834,AME_B,0,AME,2.0"
"PUN,Panjagutta,17.4289362,78.450955,PUN,1,PUN,0.0"
"PUN1,Panjagutta,17.4289362,78.450955,PUN,0,PUN,1.0"
"PUN2,Panjagutta,17.4289362,78.450955,PUN,0,PUN,2.0"
"IRM,Erra Manzil,17.4202292,78.4563489,IRM,1,IRM,0.0"
"IRM1,Erra Manzil,17.4202292,78.4563489,IRM,0,IRM,1.0"
"IRM2,Erra Manzil,17.4202292,78.4563489,IRM,0,IRM,2.0"
"KHA,Khairatabad,17.4116323,78.4608678,KHA,1,KHA,0.0"
"KHA1,Khairatabad,17.4116323,78.4608678,KHA,0,KHA,1.0"
