origin_id,destination_id,fare_id
NAG,NAG,F_10
UPL,NAG,F_10
STD,NAG,F_15
NGR,NAG,F_15
HSG,NAG,F_25
TAR,NAG,F_25
MET,NAG,F_30
SEC_E,NAG,F_35
PRG,NAG,F_40
PAR,NAG,F_40
ROP,NAG,F_40
PRN,NAG,F_40
BEG,NAG,F_45
AME_B,NAG,F_45
MUN,NAG,F_45
YUG,NAG,F_50
JR5,NAG,F_50
JCP,NAG,F_50
PED,NAG,F_50
MAD,NAG,F_55
DGC,NAG,F_55
HTC,NAG,F_55
RDG,NAG,F_60
MYP,NAG,F_60
JNT,NAG,F_60
KPH,NAG,F_55
KUK,NAG,F_55
BLR,NAG,F_50
MSP,NAG,F_50
BTN,NAG,F_50
ERA,NAG,F_50
ESI,NAG,F_50
SRN,NAG,F_45
AME_R,NAG,F_45
PUN,NAG,F_45
IRM,NAG,F_50
KHA,NAG,F_50
LKP,NAG,F_50
ASM,NAG,F_50
NAM,NAG,F_50
GAB,NAG,F_50
OMC,NAG,F_50
MGB_R,NAG,F_50
MKL,NAG,F_50
NEM,NAG,F_50
MSB,NAG,F_50
DSN,NAG,F_55
CHP,NAG,F_55
VOM,NAG,F_55
LBN,NAG,F_60
JBS,NAG,F_40
SCR,NAG,F_40
GNH,NAG,F_40
MSH,NAG,F_40
RTC,NAG,F_45
CDP,NAG,F_45
NAR,NAG,F_45
SUB,NAG,F_50
MGB_G,NAG,F_50
NAG,UPL,F_10
UPL,UPL,F_10
STD,UPL,F_10
NGR,UPL,F_15
HSG,UPL,F_15
TAR,UPL,F_25
MET,UPL,F_25
SEC_E,UPL,F_30
PRG,UPL,F_35
PAR,UPL,F_40
ROP,UPL,F_40
PRN,UPL,F_40
BEG,UPL,F_45
AME_B,UPL,F_45
MUN,UPL,F_45
YUG,UPL,F_45
JR5,UPL,F_50
JCP,UPL,F_50
PED,UPL,F_50
MAD,UPL,F_50
DGC,UPL,F_55
HTC,UPL,F_55
RDG,UPL,F_55
MYP,UPL,F_60
JNT,UPL,F_55
KPH,UPL,F_55
KUK,UPL,F_55
BLR,UPL,F_50
MSP,UPL,F_50
BTN,UPL,F_50
ERA,UPL,F_50
ESI,UPL,F_45
SRN,UPL,F_45
AME_R,UPL,F_45
PUN,UPL,F_45
IRM,UPL,F_45
KHA,UPL,F_50
LKP,UPL,F_50
ASM,UPL,F_50
NAM,UPL,F_50
GAB,UPL,F_50
OMC,UPL,F_50
MGB_R,UPL,F_45
MKL,UPL,F_50
NEM,UPL,F_50
MSB,UPL,F_50
DSN,UPL,F_55
CHP,UPL,F_55
VOM,UPL,F_55
LBN,UPL,F_60
JBS,UPL,F_35
SCR,UPL,F_40
GNH,UPL,F_40
MSH,UPL,F_40
RTC,UPL,F_45
CDP,UPL,F_45
NAR,UPL,F_45
SUB,UPL,F_45
MGB_G,UPL,F_45
NAG,STD,F_15
UPL,STD,F_10
STD,STD,F_10
NGR,STD,F_10
HSG,STD,F_15
TAR,STD,F_15
MET,STD,F_25
SEC_E,STD,F_30
PRG,STD,F_35
PAR,STD,F_35
ROP,STD,F_40
PRN,STD,F_40
BEG,STD,F_40
AME_B,STD,F_45
MUN,STD,F_45
YUG,STD,F_45
JR5,STD,F_45
JCP,STD,F_50
PED,STD,F_50
MAD,STD,F_50
DGC,STD,F_55
HTC,STD,F_55
RDG,STD,F_55
MYP,STD,F_60
JNT,STD,F_55
KPH,STD,F_55
KUK,STD,F_50
BLR,STD,F_50
MSP,STD,F_50
BTN,STD,F_50
ERA,STD,F_45
ESI,STD,F_45
SRN,STD,F_45
AME_R,STD,F_45
PUN,STD,F_45
IRM,STD,F_45
KHA,STD,F_45
LKP,STD,F_50
ASM,STD,F_50
NAM,STD,F_50
GAB,STD,F_50
OMC,STD,F_45
MGB_R,STD,F_45
MKL,STD,F_45
NEM,STD,F_50
MSB,STD,F_50
DSN,STD,F_50
CHP,STD,F_55
VOM,STD,F_55
LBN,STD,F_55
JBS,STD,F_35
SCR,STD,F_35
GNH,STD,F_40
MSH,STD,F_40
RTC,STD,F_40
CDP,STD,F_40
NAR,STD,F_45
SUB,STD,F_45
MGB_G,STD,F_45
NAG,NGR,F_15
UPL,NGR,F_15
STD,NGR,F_10
NGR,NGR,F_10
HSG,NGR,F_10
TAR,NGR,F_15
MET,NGR,F_15
SEC_E,NGR,F_25
PRG,NGR,F_30
PAR,NGR,F_35
ROP,NGR,F_35
PRN,NGR,F_40
BEG,NGR,F_40
AME_B,NGR,F_40
MUN,NGR,F_45
YUG,NGR,F_45
JR5,NGR,F_45
JCP,NGR,F_45
PED,NGR,F_50
MAD,NGR,F_50
DGC,NGR,F_50
HTC,NGR,F_50
RDG,NGR,F_55
MYP,NGR,F_55
JNT,NGR,F_55
KPH,NGR,F_50
KUK,NGR,F_50
BLR,NGR,F_50
MSP,NGR,F_50
BTN,NGR,F_45
ERA,NGR,F_45
ESI,NGR,F_45
SRN,NGR,F_45
AME_R,NGR,F_40
PUN,NGR,F_45
IRM,NGR,F_45
KHA,NGR,F_45
LKP,NGR,F_45
ASM,NGR,F_50
NAM,NGR,F_45
GAB,NGR,F_45
OMC,NGR,F_45
MGB_R,NGR,F_45
MKL,NGR,F_45
NEM,NGR,F_45
MSB,NGR,F_50
DSN,NGR,F_50
CHP,NGR,F_50
VOM,NGR,F_55
LBN,NGR,F_55
JBS,NGR,F_30
SCR,NGR,F_35
GNH,NGR,F_35
MSH,NGR,F_40
RTC,NGR,F_40
CDP,NGR,F_40
NAR,NGR,F_40
SUB,NGR,F_45
MGB_G,NGR,F_45
NAG,HSG,F_25
UPL,HSG,F_15
STD,HSG,F_15
NGR,HSG,F_10
HSG,HSG,F_10
TAR,HSG,F_10
MET,HSG,F_15
SEC_E,HSG,F_25
PRG,HSG,F_30
PAR,HSG,F_30
ROP,HSG,F_35
PRN,HSG,F_35
BEG,HSG,F_40
AME_B,HSG,F_40
MUN,HSG,F_40
YUG,HSG,F_45
JR5,HSG,F_45
JCP,HSG,F_45
PED,HSG,F_45
MAD,HSG,F_50
DGC,HSG,F_50
HTC,HSG,F_50
RDG,HSG,F_55
MYP,HSG,F_55
JNT,HSG,F_55
KPH,HSG,F_50
KUK,HSG,F_50
BLR,HSG,F_45
MSP,HSG,F_45
BTN,HSG,F_45
ERA,HSG,F_45
ESI,HSG,F_45
SRN,HSG,F_40
AME_R,HSG,F_40
PUN,HSG,F_40
IRM,HSG,F_45
KHA,HSG,F_45
LKP,HSG,F_45
ASM,HSG,F_45
NAM,HSG,F_45
GAB,HSG,F_45
OMC,HSG,F_45
MGB_R,HSG,F_45
MKL,HSG,F_45
NEM,HSG,F_45
MSB,HSG,F_45
DSN,HSG,F_50
CHP,HSG,F_50
VOM,HSG,F_50
LBN,HSG,F_55
JBS,HSG,F_30
SCR,HSG,F_30
GNH,HSG,F_35
MSH,HSG,F_35
RTC,HSG,F_40
CDP,HSG,F_40
NAR,HSG,F_40
SUB,HSG,F_40
MGB_G,HSG,F_45
NAG,TAR,F_25
UPL,TAR,F_25
STD,TAR,F_15
NGR,TAR,F_15
HSG,TAR,F_10
TAR,TAR,F_10
MET,TAR,F_10
SEC_E,TAR,F_15
PRG,TAR,F_25
PAR,TAR,F_25
ROP,TAR,F_30
PRN,TAR,F_35
BEG,TAR,F_35
AME_B,TAR,F_40
MUN,TAR,F_40
YUG,TAR,F_40
JR5,TAR,F_45
JCP,TAR,F_45
PED,TAR,F_45
MAD,TAR,F_45
DGC,TAR,F_50
HTC,TAR,F_50
RDG,TAR,F_50
MYP,TAR,F_55
JNT,TAR,F_50
KPH,TAR,F_50
KUK,TAR,F_45
BLR,TAR,F_45
MSP,TAR,F_45
BTN,TAR,F_45
ERA,TAR,F_40
ESI,TAR,F_40
SRN,TAR,F_40
AME_R,TAR,F_40
PUN,TAR,F_40
IRM,TAR,F_40
KHA,TAR,F_45
LKP,TAR,F_45
ASM,TAR,F_45
NAM,TAR,F_45
GAB,TAR,F_45
OMC,TAR,F_40
MGB_R,TAR,F_40
MKL,TAR,F_45
NEM,TAR,F_45
MSB,TAR,F_45
DSN,TAR,F_45
CHP,TAR,F_50
VOM,TAR,F_50
LBN,TAR,F_50
JBS,TAR,F_25
SCR,TAR,F_30
GNH,TAR,F_30
MSH,TAR,F_35
RTC,TAR,F_35
CDP,TAR,F_40
NAR,TAR,F_40
SUB,TAR,F_40
MGB_G,TAR,F_40
NAG,MET,F_30
UPL,MET,F_25
STD,MET,F_25
NGR,MET,F_15
HSG,MET,F_15
TAR,MET,F_10
MET,MET,F_10
SEC_E,MET,F_10
PRG,MET,F_15
PAR,MET,F_25
ROP,MET,F_25
PRN,MET,F_30
BEG,MET,F_35
AME_B,MET,F_35
MUN,MET,F_40
YUG,MET,F_40
JR5,MET,F_40
JCP,MET,F_45
PED,MET,F_45
MAD,MET,F_45
DGC,MET,F_45
HTC,MET,F_50
RDG,MET,F_50
MYP,MET,F_50
JNT,MET,F_50
KPH,MET,F_45
KUK,MET,F_45
BLR,MET,F_45
MSP,MET,F_45
BTN,MET,F_40
ERA,MET,F_40
ESI,MET,F_40
SRN,MET,F_40
AME_R,MET,F_35
PUN,MET,F_40
IRM,MET,F_40
KHA,MET,F_40
LKP,MET,F_45
ASM,MET,F_45
NAM,MET,F_45
GAB,MET,F_40
OMC,MET,F_40
MGB_R,MET,F_40
MKL,MET,F_40
NEM,MET,F_40
MSB,MET,F_45
DSN,MET,F_45
CHP,MET,F_45
VOM,MET,F_50
LBN,MET,F_50
JBS,MET,F_15
SCR,MET,F_25
GNH,MET,F_25
MSH,MET,F_30
RTC,MET,F_35
CDP,MET,F_35
NAR,MET,F_35
SUB,MET,F_40
MGB_G,MET,F_40
NAG,SEC_E,F_35
UPL,SEC_E,F_30
STD,SEC_E,F_30
NGR,SEC_E,F_25
HSG,SEC_E,F_25
TAR,SEC_E,F_15
MET,SEC_E,F_10
SEC_E,SEC_E,F_10
PRG,SEC_E,F_10
PAR,SEC_E,F_15
ROP,SEC_E,F_15
PRN,SEC_E,F_25
BEG,SEC_E,F_30
AME_B,SEC_E,F_30
MUN,SEC_E,F_35
YUG,SEC_E,F_40
JR5,SEC_E,F_40
JCP,SEC_E,F_40
PED,SEC_E,F_40
MAD,SEC_E,F_40
DGC,SEC_E,F_45
HTC,SEC_E,F_45
RDG,SEC_E,F_45
MYP,SEC_E,F_50
JNT,SEC_E,F_45
KPH,SEC_E,F_45
KUK,SEC_E,F_45
BLR,SEC_E,F_40
MSP,SEC_E,F_40
BTN,SEC_E,F_40
ERA,SEC_E,F_40
ESI,SEC_E,F_35
SRN,SEC_E,F_35
AME_R,SEC_E,F_30
PUN,SEC_E,F_35
IRM,SEC_E,F_40
KHA,SEC_E,F_40
LKP,SEC_E,F_40
ASM,SEC_E,F_40
NAM,SEC_E,F_40
GAB,SEC_E,F_40
OMC,SEC_E,F_40
MGB_R,SEC_E,F_40
MKL,SEC_E,F_40
NEM,SEC_E,F_40
MSB,SEC_E,F_40
DSN,SEC_E,F_45
CHP,SEC_E,F_45
VOM,SEC_E,F_45
LBN,SEC_E,F_50
JBS,SEC_E,F_10
SCR,SEC_E,F_15
GNH,SEC_E,F_25
