stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,platform_code
MYP,Miyapur,17.4965452,78.3730262,MYP,1,,
MYP1,Miyapur,17.4965452,78.3730262,MYP,0,MYP,1
MYP2,Miyapur,17.4965452,78.3730262,MYP,0,MYP,2
JNT,JNTU College,17.4987037,78.3888668,JNT,1,,
JNT1,JNTU College,17.4987037,78.3888668,JNT,0,JNT,1
JNT2,JNTU College,17.4987037,78.3888668,JNT,0,JNT,2
KPH,KPHB Colony,17.4937602,78.4018258,KPH,1,,
KPH1,KPHB Colony,17.4937602,78.4018258,KPH,0,KPH,1
KPH2,KPHB Colony,17.4937602,78.4018258,KPH,0,KPH,2
KUK,Kukatpally,17.4849033,78.4117896,KUK,1,,
KUK1,Kukatpally,17.4849033,78.4117896,KUK,0,KUK,1
KUK2,Kukatpally,17.4849033,78.4117896,KUK,0,KUK,2
BLR,Balanagar,17.4767464,78.4221082,BLR,1,,
BLR1,Balanagar,17.4767464,78.4221082,BLR,0,BLR,1
BLR2,Balanagar,17.4767464,78.4221082,BLR,0,BLR,2
MSP,Moosapet,17.4718855,78.4261182,MSP,1,,
MSP1,Moosapet,17.4718855,78.4261182,MSP,0,MSP,1
MSP2,Moosapet,17.4718855,78.4261182,MSP,0,MSP,2
BTN,Bharat Nagar,17.4629092,78.4305364,BTN,1,,
BTN1,Bharat Nagar,17.4629092,78.4305364,BTN,0,BTN,1
BTN2,Bharat Nagar,17.4629092,78.4305364,BTN,0,BTN,2
ERA,Erragadda,17.4570487,78.4335811,ERA,1,,
ERA1,Erragadda,17.4570487,78.4335811,ERA,0,ERA,1
ERA2,Erragadda,17.4570487,78.4335811,ERA,0,ERA,2
ESI,ESI Hospital,17.4486969,78.4376283,ESI,1,,
ESI1,ESI Hospital,17.4486969,78.4376283,ESI,0,ESI,1
ESI2,ESI Hospital,17.4486969,78.4376283,ESI,0,ESI,2
SRN,S. R. Nagar,17.4431205,78.4407241,SRN,1,,
SRN1,S. R. Nagar,17.4431205,78.4407241,SRN,0,SRN,1
SRN2,S. R. Nagar,17.4431205,78.4407241,SRN,0,SRN,2
AME,Ameerpet,17.4357214,78.4447933,,1,,
AME3,Ameerpet,17.4357214,78.4447933,AME_R,0,AME,3
AME4,Ameerpet,17.4357214,78.4447933,AME_R,0,AME,4
